Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Part Status,Capacitance,Tolerance,Voltage - Rated,ESR (Equivalent Series Resistance),Lifetime @ Temp.,Termination,Mounting Type,Package / Case,Lead Spacing,Size / Dimension,Height - Seated (Max),Operating Temperature
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4393_PB_Series.pdf,"//media.digikey.com/photos/Cooper%20Bussmann%20Photos/PB%20SERIES%2013.0H,10.8L.jpg",283-2788-ND,PB-5R0V104-R,Eaton,CAP 100MF -20% +80% 5V T/H,9906,0,6.05,0,1,Bulk,PowerStor PB,Active,100mF,"-20%, +80%",5V,4 Ohm @ 100Hz,1000 Hrs @ 70°C,PC Pins,Through Hole,"Radial, Can","0.287"" (7.30mm)","0.445"" L x 0.236"" W (11.30mm x 6.00mm)","0.512"" (13.00mm)",-25°C ~ 70°C
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4376_HV_Series.pdf,//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/HV1635-2R7356-R.JPG,283-4192-ND,HV1635-2R7356-R,Eaton,CAP 35F -10% +30% 2.7V T/H,12653,0,6.17,0,1,Bulk,PowerStor HV,Active,35F,"-10%, +30%",2.7V,24 mOhm @ 100Hz,1000 Hrs @ 65°C,PC Pins,Through Hole,"Radial, Can","0.295"" (7.50mm)","0.630"" Dia (16.00mm)","1.496"" (38.00mm)",-40°C ~ 65°C
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4393_PB_Series.pdf,"//media.digikey.com/photos/Cooper%20Bussmann%20Photos/PB%20SERIES%2013.0H,16.8L.jpg",283-2790-ND,PB-5R0V474-R,Eaton,CAP 470MF -20% +80% 5V T/H,10399,0,6.41,0,1,Bulk,PowerStor PB,Active,470mF,"-20%, +80%",5V,1 Ohm @ 100Hz,1000 Hrs @ 70°C,PC Pins,Through Hole,"Radial, Can","0.465"" (11.80mm)","0.681"" L x 0.354"" W (17.30mm x 9.00mm)","0.571"" (14.50mm)",-25°C ~ 70°C
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/bus-elx-ds-10554-tv-supercapacitors.pdf,//media.digikey.com/Photos/Eaton%20Bussmann/MFG_TV_Supercap_Hero.jpg,283-4668-ND,TV1030-3R0106-R,Eaton,"CAP, 3.0V, 10F",1215,0,6.73,0,1,Bulk,TV,Active,10F,"-10%, +30%",3V,26 mOhm,1000 Hrs @ 85°C,PC Pins,Through Hole,"Radial, Can","0.197"" (5.00mm)","0.413"" Dia (10.50mm)","1.240"" (31.50mm)",-40°C ~ 85°C
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/edlc/o84e.pdf,//media.digikey.com/Photos/Murata%20Photos/MFG_DMT-Series.jpg,490-10993-ND,DMT334R2S474M3DTA0,Murata Electronics North America,CAP SUPER 470MF 4.2V 3-SMD,4629,0,6.93,0,1,-,DMT,Active,470mF,±20%,4.2V,130 mOhm,1000 Hrs @ 85°C,SMD (SMT) Tabs,Surface Mount,"3-SMD, Gull Wing",-,"0.827"" L x 0.551"" W (21.00mm x 14.00mm)","0.138"" (3.50mm)",-40°C ~ 85°C
https://www.murata.com/~/media/webrenewal/products/capacitor/edlc/feature/edlc%20dmt220mf_datasheet.ashx?la=en,//media.digikey.com/Photos/Murata%20Photos/MFG_DMT3N4R2U224M3DTA0.jpg,490-13208-ND,DMT3N4R2U224M3DTA0,Murata Electronics North America,CAPACITOR 220MF 20% 4.2V SMD,4596,0,6.93,0,1,Bulk,DMT,Active,220mF,±20%,4.2V,300 mOhm,1000 Hrs @ 85°C,SMD (SMT) Tabs,Surface Mount,"3-SMD, Gull Wing",-,"0.827"" L x 0.551"" W (21.00mm x 14.00mm)","0.087"" (2.20mm)",-40°C ~ 85°C
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4375_HB_Series.pdf,//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/HB1635-2R5356-R.jpg,283-3129-ND,HB1635-2R5356-R,Eaton,CAP 35F -10% +30% 2.5V T/H,1377,0,6.98,0,1,Bulk,PowerStor HB,Active,35F,"-10%, +30%",2.5V,30 mOhm @ 100Hz,1000 Hrs @ 70°C,PC Pins,Through Hole,"Radial, Can","0.295"" (7.50mm)","0.650"" Dia (16.50mm)","1.496"" (38.00mm)",-25°C ~ 70°C
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4376_HV_Series.pdf,//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/HV1840-2R7606-R.JPG,283-4200-ND,HV1840-2R7606-R,Eaton,CAP 60F -10% +30% 2.7V T/H,9972,0,7.09,0,1,Bulk,PowerStor HV,Active,60F,"-10%, +30%",2.7V,18 mOhm @ 100Hz,1000 Hrs @ 65°C,PC Pins,Through Hole,"Radial, Can","0.295"" (7.50mm)","0.709"" Dia (18.00mm)","1.654"" (42.00mm)",-40°C ~ 65°C
https://www.murata.com/en-us/products/productdata/8796857270302/MFCDSF1E.pdf,//media.digikey.com/Photos/Murata%20Photos/MFG_DMF-Series.jpg,490-10994-ND,DMF3Z5R5H474M3DTA0,Murata Electronics North America,CAP SUPER 470MF 5.5V 3-SMD,5050,0,7.13,0,1,-,DMF,Active,470mF,±20%,5.5V,45 mOhm,1000 Hrs @ 70°C,SMD (SMT) Tabs,Surface Mount,"3-SMD, Gull Wing",-,"0.827"" L x 0.551"" W (21.00mm x 14.00mm)","0.126"" (3.20mm)",-40°C ~ 70°C
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4375_HB_Series.pdf,//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/HB1840-2R5606-R.jpg,283-3130-ND,HB1840-2R5606-R,Eaton,CAP 60F -10% +30% 2.5V T/H,6015,0,7.76,0,1,Bulk,PowerStor HB,Active,60F,"-10%, +30%",2.5V,25 mOhm @ 100Hz,1000 Hrs @ 70°C,PC Pins,Through Hole,"Radial, Can","0.295"" (7.50mm)","0.728"" Dia (18.50mm)","1.654"" (42.00mm)",-25°C ~ 70°C
